id,descripcion_conc
281,candlelight orquesta mejor joe hisaishi elight conciertos luz velas traen magia musical lugares increíbles madrid consigue entradas candlelight orquesta mejor joe hisaishi the music station principe pío apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d selecciona zona deseada entradas continua elegir asientos numerados x d información lugar the music station principe pío gran teatro caixabank príncipe pío madrid fecha hora abril duración minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas selecciona entrada pmr proceso compra procura comprar entradas patio butacas ascensor subir primera planta puedes consultar preguntas frecuentes respuestas aquí consulta conciertos candlelight madrid si deseas reservar concierto privado haz clic aquí desplázate taxi freenow descuento exclusivo podrás disfrutar ida vuelta vez introduzcas destino app si nuevo usuario disfruta descuento utilizando código candle primer viaje taxi coche compartido bici moto patinete promociones acumulables x d programa candlelight orquesta mejor joe hisaishi the music station príncipe pío madrid x d x d ponyo on the cliff x d town with an ocean view x d tabidachi x d carrying you x d nausicaa valley of the wind x d always with x d chihiro s waltz x d one summer day x d catbus x d path of the wind x d totoro x d memory departures x d summer x d ashitaka and san x d x d intérpretes x d x d orquesta camerata musicalis formación miembros x d x d opiniones conciertos candlelight monique m fenomenal increíble patricia c espectáculo precioso vibrante divertido revitalizante ponían pelos punta recomendando amigos puedo verlo joaquín g precioso espectáculo increíble aspectos x d x d
219,rockin banda mil músicos directo quieres vivir concierto directo banda rock grande jamás existido prepárate llega rockin proyecto reúne cientos cientos cantantes guitarristas teclistas bajistas músicos único gran escenario centro cívitas metropolitano madrid banda formada mil artistas tocando cantando perfecta sintonía clásicos nacionales internacionales grandes género vive espectáculo rock épico conquistado grandes capitales mundo llega madrid hacer historia sé testigo concierto único mundo público consigue entradas rockin madrid
322,candlelight requiem mozart san antonio alemanes elight trae magia musical vivo lugares increíbles madrid consigue entradas candlelight requiem mozart iglesia san antonio alemanes apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d información lugar iglesia san antonio alemanes madrid fecha hora mayo duración minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas asientos asignan llegada según tipo ticket comprado puedes consultar preguntas frecuentes respuestas aquí consulta conciertos candlelight madrid si deseas reservar concierto privado haz clic aquí x d programa candlelight réquiem mozart iglesia san antonio alemanes madrid x d x d ave verum w mozart x d requiem w mozart x d x d intérpretes x d x d cuarteto cuerda matrice x d x d opiniones conciertos candlelight monique m fenomenal increíble patricia c espectáculo precioso vibrante divertido revitalizante ponían pelos punta recomendando amigos puedo verlo joaquín g precioso espectáculo increíble aspectos x d x d
36,candlelight tributo queen cuatro manos círculo bellas artes lelight trae magia musical vivo lugares increíbles madrid consigue entradas candlelight tributo queen cuatro manos círculo bellas artes apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí información lugar teatro fernando rojas círculo bellas artes madrid fecha hora abril mayo duración concierto minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas únicamente zonas b puedes consultar preguntas frecuentes respuestas aquí desplázate concierto bolt forma cómoda fácil flexible llegar cualquier plan ahora descuento primeros viajes viaje forma parte programa candlelight tributo queen cuatro manos bohemian rhapsody somebody to love we will rock you we are the champions i was born to love you love of my life don t stop now the show must go on under pressure intérprete piano esther toledano alicia prieto
303,vagues maleantes volumen bala perdida club mario marcol nacañadí presentan vagues maleantes serie conciertos periódicos temáticos proyectos musicales lgtbiq hacen música original visibilizan identidades orientaciones través música vente malear ondear linterna teléfono soltar alguna lagrimilla mano vinaixa isla lavanda saint torrente nacañadí anfitrión mario marcol sorpresas pierdas consigue entradas vagues maleantes volumen bala perdida club madrid
132,luthiers tropiezos mastropiero príncipe pío grupo humorístico musical luthiers despide siempre escenarios tropiezos mastropiero show acaba estrenar gran éxito argentina realizará junio gira despedida españa espectáculo gira torno supuesta entrevista mítico creador obras luthiers johann sebastian mastropiero transcurso entrevista rememora ejemplos musicales escénicos buena parte vida compositor primeros fracasos recientes consigue entradas luthiers tropiezos mastropiero gran teatro caixabank príncipe pío madrid
204,candlelight tributo ludovico einaudi four seasons hotel madrid lelight trae magia musical vivo lugares increíbles madrid consigue entradas candlelight tributo ludovico einaudi four seasons hotel madrid apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí información lugar four seasons hotel madrid fecha hora mayo duración concierto minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas puedes consultar preguntas frecuentes respuestas aquí si deseas reservar concierto privado haz clic aquí consulta conciertos candlelight madrid x d desplázate concierto bolt forma cómoda fácil flexible llegar cualquier plan ahora descuento primeros viajes viaje forma parte x d programa tentativo candlelight tributo ludovico einaudi x d x d fairytale x d i due fiumi x d monday x d stella mattino x d i giorni x d in altra vita x d elegy for the arctic x d primavera x d experience x d divenire x d sei x d berlin song x d mattina x d nuvole bianche x d x d intérpretes x d x d piano esther toledano x d x d x d
292,candlelight tributo hans zimmer domo elight conciertos luz velas traen magia musical vivo lugares increíbles madrid ocasión lugar tan especial domo moncloa rodeados proyecciones consigue entradas candlelight tributo hans zimmer domo apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d información lugar domo moncloa madrid fecha hora abril mayo duración minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas asientos asignan llegada según tipo ticket comprado puedes consultar preguntas frecuentes respuestas aquí consulta conciertos candlelight madrid si deseas reservar concierto privado haz clic aquí desplázate taxi freenow descuento exclusivo podrás disfrutar ida vuelta vez introduzcas destino app si nuevo usuario disfruta descuento utilizando código candle primer viaje taxi coche compartido bici moto patinete promociones acumulables x d programa candlelight tributo hans zimmer domo madrid x d x d x d piratas caribe x d origen x d rey arturo x d código da vinci x d rain man x d sherlock holmes x d gladiator x d the holiday x d ángeles demonios x d rey león x d pearl harbor x d último samurái x d interstellar x d batman caballero oscuro x d x d x d intérpretes x d x d cuarteto cuerda abril cuarteto matrice mayo cuarteto caramuel x d x d opiniones conciertos candlelight monique m fenomenal increíble patricia c espectáculo precioso vibrante divertido revitalizante ponían pelos punta recomendando amigos puedo verlo joaquín g precioso espectáculo increíble aspectos x d x d
230,candlelight premium tributo coldplay hotel palace madrid lelight trae magia musical vivo lugares increíbles madrid consigue entradas candlelight premium tributo coldplay exclusivo hotel westin palace madrid x d apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d información lugar hotel westin palace madrid fecha hora abril duración minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto asientos asignan llegada según tipo ticket comprado accesibilidad recinto habilitado personas silla ruedas puedes consultar preguntas frecuentes respuestas aquí si deseas reservar concierto privado haz clic aquí consulta conciertos candlelight madrid x d desplázate concierto bolt forma cómoda fácil flexible llegar cualquier plan ahora descuento primeros viajes viaje forma parte x d programa candlelight tributo coldplay hotel westin palace madrid x d x d trouble x d in my place x d fix you x d adventure of lifetime x d speed of sound x d dont panic x d yellow x d clocks x d the scientist x d viva vida x d x d intérprete x d x d piano jose candel x d x d
259,candlelight tributo joan manuel serrat hotel wellington elight conciertos luz velas traen magia musical lugares increíbles madrid consigue entradas candlelight tributo joan manuel serrat hotel wellington x d apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d disfruta noche mágica junto candlelight velas symphony candles inspirado música symphony origina partir idea orquesta instrumentos tipo hacen eco crear música armónica velas parpadean ritmo música nacen modo detección ritmo patentado emiten señales medida avanza ritmo x d información lugar hotel wellington madrid fecha hora abril mayo duración concierto minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto puedes consultar preguntas frecuentes respuestas aquí asientos asignan llegada según tipo ticket comprado consulta conciertos candlelight madrid si deseas reservar concierto privado haz clic aquí desplázate taxi freenow descuento exclusivo podrás disfrutar ida vuelta vez introduzcas destino app si nuevo usuario disfruta descuento utilizando código candle primer viaje taxi coche compartido bici moto patinete promociones acumulables x d programa candlelight tributo joan manuel serrat hotel wellington x d x d barquito papel x d va ser x d aquellas pequeñas cosas x d cantares x d penélope x d mujer quiero x d lucía x d mediterráneo x d nombre sabe yerba x d x d x d intérprete x d x d cuarteto cuerda caramuel x d x d opiniones conciertos candlelight david cuatro paredes cuatro columnas medio piano manos dama resto imagenes sueños patricia c espectáculo precioso vibrante divertido revitalizante ponían pelos punta recomendando amigos puedo verlo joaquín g precioso espectáculo increíble aspectos x d
